n p logical_error_rate analytical_logical_error
3 0.00 0.000000 0.000000
3 0.02 0.001000 0.001184
3 0.04 0.005650 0.004672
3 0.06 0.010000 0.010368
3 0.08 0.018600 0.018176
3 0.10 0.026800 0.028000
3 0.12 0.041450 0.039744
3 0.14 0.053650 0.053312
3 0.16 0.070800 0.068608
3 0.18 0.091850 0.085536
3 0.20 0.101650 0.104000
5 0.00 0.000000 0.000000
5 0.02 0.000000 0.000078
5 0.04 0.000850 0.000602
5 0.06 0.001450 0.001970
5 0.08 0.003850 0.004525
5 0.10 0.007800 0.008560
5 0.12 0.015150 0.014319
5 0.14 0.021250 0.022000
5 0.16 0.032450 0.031759
5 0.18 0.044300 0.043707
5 0.20 0.058950 0.057920
7 0.00 0.000000 0.000000
7 0.02 0.000000 0.000005
7 0.04 0.000150 0.000081
7 0.06 0.000450 0.000391
7 0.08 0.001350 0.001176
7 0.10 0.002200 0.002728
7 0.12 0.005450 0.005369
7 0.14 0.009500 0.009434
7 0.16 0.013950 0.015250
7 0.18 0.024250 0.023128
7 0.20 0.033250 0.033344
